page_slug,page_type,target_keyword,meta_title,meta_description,primary_h1,secondary_keywords
/,homepage,genuine leather shoes india,"Sbali | Genuine Leather Shoes & Goods from Agra, India","Shop Sbali, Agra's handcrafted leather brand. Genuine leather shoes, bags, wallets, and belts with timeless style.","Sbali: Handcrafted Genuine Leather Shoes and Goods from Agra, India","Agra leather brand|handcrafted leather goods|authentic Indian leather"
/category/mens-leather-shoes,category,mens leather shoes india,"Men's Genuine Leather Shoes | Handcrafted in Agra | Sbali","Explore men's genuine leather shoes by Sbali. Handcrafted in Agra for comfort, durability, and timeless formal style.","Men's Leather Shoes","formal leather shoes India|Agra leather shoes|premium leather footwear"
/category/womens-leather-sandals,category,womens leather sandals india,"Women's Leather Sandals | Handcrafted Comfort by Sbali","Shop handcrafted women's leather sandals by Sbali. Genuine leather, durable build, and all-day comfort with elegant style.","Women's Leather Sandals","leather sandals India|handcrafted sandals|premium sandals"
/category/leather-bags,category,leather bags india,"Genuine Leather Bags | Handcrafted in Agra | Sbali","Discover genuine leather bags by Sbali. Handcrafted in Agra with premium materials for work, travel, and everyday use.","Leather Bags","handmade leather bags India|premium leather bags|Agra leather goods"
/category/leather-wallets,category,leather wallets india,"Genuine Leather Wallets | Agra Craftsmanship | Sbali","Buy genuine leather wallets from Sbali. Handcrafted in Agra with smart storage, durable stitching, and timeless finish.","Leather Wallets","mens leather wallet India|premium wallet|handcrafted wallet"
/category/leather-belts,category,leather belts india,"Genuine Leather Belts for Men | Handcrafted by Sbali","Upgrade your wardrobe with Sbali genuine leather belts. Handcrafted quality, sturdy hardware, and classic finish.","Leather Belts","formal leather belt|pure leather belt India|Agra leather belt"
/products/mens-handcrafted-oxford,product,handcrafted leather oxford shoes,"Men's Handcrafted Leather Oxford Shoes | Sbali Agra","Premium genuine leather Oxford shoes handcrafted in Agra. Elegant formal style, comfort fit, and long-lasting build.","Men's Handcrafted Leather Oxford Shoes","genuine leather formal shoes India|Oxford shoes men|Agra leather shoes"
/products/leather-wallet-classic,product,genuine leather wallet india,"Classic Genuine Leather Wallet | Sbali","Compact genuine leather wallet handcrafted in Agra. Smart card slots, premium finish, and durable everyday performance.","Classic Leather Wallet","pure leather wallet|mens wallet India|handcrafted wallet"
/products/leather-belt-signature,product,genuine leather belt india,"Signature Genuine Leather Belt | Sbali","Handcrafted genuine leather belt by Sbali with durable buckle and refined finish for formal and casual wear.","Signature Leather Belt","mens leather belt India|formal belt|pure leather accessory"
/products/leather-bag-urban,product,handmade leather bag india,"Urban Genuine Leather Bag | Sbali","Handcrafted genuine leather bag made in Agra with practical compartments and premium finish for daily work and travel.","Urban Leather Bag","leather office bag|handcrafted bag India|Agra leather bag"
/blog/why-agra-is-indias-leather-capital,blog,agra leather industry,"Why Agra Is India's Leather Capital | Sbali Blog","Learn why Agra is India's leather capital and how Sbali blends heritage craftsmanship with modern leather design.","Why Agra Is India's Leather Capital - And Why Sbali Leads the Way","Agra leather history|Indian leather craftsmanship|Sbali brand story"
/blog/how-to-identify-genuine-leather-shoes,blog,identify genuine leather shoes,"How to Identify Genuine Leather Shoes | Complete Guide by Sbali","A practical guide to identify genuine leather shoes, avoid fake materials, and buy confidently from trusted brands.","How to Identify Genuine Leather Shoes - A Complete Guide by Sbali","real vs fake leather|leather shoe buying guide|genuine leather tips"
/contact,support,leather store agra,"Contact Sbali | Leather Shoes and Goods from Agra","Get in touch with Sbali for product support, orders, and shipping details for genuine leather shoes and goods.","Contact Sbali","Sbali support|Agra leather store|customer assistance"
/faq,support,sbali leather faq,"Sbali FAQ | Delivery, Returns, and Leather Care","Find answers on Sbali delivery, product quality, returns, and care tips for genuine leather shoes and accessories.","Frequently Asked Questions","delivery policy|return policy|leather care tips"
